START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/30/20,10:10 PM,10:10 PM,Tigers at D-backs,Chase Field - Phoenix,"Local TV: FS-D",05/31/20,05/31/20,01:10 AM,01:10 AM,FALSE,TRUE,05/30/20,09:10 PM,09:10 PM,FREE,BUSY
05/31/20,04:10 PM,04:10 PM,Tigers at D-backs,Chase Field - Phoenix,"Local TV: FS-D",05/31/20,05/31/20,07:10 PM,07:10 PM,FALSE,TRUE,05/31/20,03:10 PM,03:10 PM,FREE,BUSY
06/02/20,10:07 PM,10:07 PM,Tigers at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-D",06/03/20,06/03/20,01:07 AM,01:07 AM,FALSE,TRUE,06/02/20,09:07 PM,09:07 PM,FREE,BUSY
06/03/20,10:07 PM,10:07 PM,Tigers at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-D",06/04/20,06/04/20,01:07 AM,01:07 AM,FALSE,TRUE,06/03/20,09:07 PM,09:07 PM,FREE,BUSY
06/04/20,03:37 PM,03:37 PM,Tigers at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-D",06/04/20,06/04/20,06:37 PM,06:37 PM,FALSE,TRUE,06/04/20,02:37 PM,02:37 PM,FREE,BUSY
06/05/20,08:10 PM,08:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/05/20,06/05/20,11:10 PM,11:10 PM,FALSE,TRUE,06/05/20,07:10 PM,07:10 PM,FREE,BUSY
06/06/20,02:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/06/20,06/06/20,05:10 PM,05:10 PM,FALSE,TRUE,06/06/20,01:10 PM,01:10 PM,FREE,BUSY
06/07/20,02:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D",06/07/20,06/07/20,05:10 PM,05:10 PM,FALSE,TRUE,06/07/20,01:10 PM,01:10 PM,FREE,BUSY
06/09/20,07:10 PM,07:10 PM,Athletics at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/09/20,06/09/20,10:10 PM,10:10 PM,FALSE,TRUE,06/09/20,06:10 PM,06:10 PM,FREE,BUSY
06/10/20,07:10 PM,07:10 PM,Athletics at Tigers,Comerica Park - Detroit,"Local TV: FS-D",06/10/20,06/10/20,10:10 PM,10:10 PM,FALSE,TRUE,06/10/20,06:10 PM,06:10 PM,FREE,BUSY
